Year,Units,Series,Type of unpaid work,Degree of urbanisation,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,Male,,,,13.5
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,Male,,,,13.5
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,Male,,,,9.4
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,Male,,,,9.7
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,Male,,,,4.3
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,Male,,,,3.8
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,Male,,,,8.1
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,Male,,,,7.6
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,Male,,,,9.7
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,Male,,,,9.8
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,Male,,,,11.7
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,Male,,,,11.8
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,Male,,,,13.1
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,Male,,,,14.8
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,,,,,,1.2
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,,,,,,1.7
