Year,Units,Series,Art der unbezahlten Arbeit,Verstädterungsgrad,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,13.2
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,13.4
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,55 bis unter 65 Jahre,,,,,13.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,55 bis unter 65 Jahre,,,,,14.0
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,65 Jahre und älter,,,,,15.4
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,65 Jahre und älter,,,,,16.2
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,Weiblich,,,,15.7
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,Weiblich,,,,15.7
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,Weiblich,,,,6.9
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,Weiblich,,,,7.3
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,25 bis unter 45 Jahre,Weiblich,,,,17.5
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,25 bis unter 45 Jahre,Weiblich,,,,17.7
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,45 bis unter 55 Jahre,Weiblich,,,,15.7
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,45 bis unter 55 Jahre,Weiblich,,,,15.6
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,55 bis unter 65 Jahre,Weiblich,,,,16.1
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,55 bis unter 65 Jahre,Weiblich,,,,15.3
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,65 Jahre und älter,Weiblich,,,,17.5
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,65 Jahre und älter,Weiblich,,,,16.4
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,16.0
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,15.9
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 bis unter 25 Jahre,Weiblich,,,,6.5
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 bis unter 25 Jahre,Weiblich,,,,6.2
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,19.3
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,17.5
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,16.1
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,15.8
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,55 bis unter 65 Jahre,Weiblich,,,,15.4
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,55 bis unter 65 Jahre,Weiblich,,,,15.8
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,65 Jahre und älter,Weiblich,,,,17.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,65 Jahre und älter,Weiblich,,,,17.4
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,Männlich,,,,9.9
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,Männlich,,,,10.5
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,Männlich,,,,4.1
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,Männlich,,,,4.4
