Year,Educational level,Type of ICT skill,Subject,Age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2012,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,Population with computer-related activities,
2013,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,Population with computer-related activities,
2014,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,Population with computer-related activities,
2015,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,Population with computer-related activities,35.0
2016,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,Population with computer-related activities,34.0
2017,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,Population with computer-related activities,37.0
2018,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,Population with computer-related activities,
2019,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,Population with computer-related activities,37.0
2020,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,Population with computer-related activities,
2021,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,|,,,Population with computer-related activities,26.9
2022,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,Population with computer-related activities,
2023,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,Population with computer-related activities,30.2
2024,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,Population with computer-related activities,
2025,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,Population with computer-related activities,32.6
